file_name,file_path,duration,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_energy_mean,rms_energy_std,rms_energy_max,rms_energy_min,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,tempo,mel_spectrogram_mean,mel_spectrogram_std
carine_confirm_transactions.wav,C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio_Processing\audios\carine_confirm_transactions.wav,2.322,-580.0337,178.12044,18.338223,56.81647,34.966053,37.07448,-39.27616,39.876236,-14.482768,21.579855,-18.253267,20.21377,-11.433068,11.806595,-8.780412,13.96103,-5.22155,10.592114,-9.330009,11.138656,-2.42665,9.159268,-5.827831,14.63518,-2.2634428,7.901734,-5.724035,10.709471,-0.8869128,7.26688,-2.3689413,7.580285,-7.6412196,9.689732,1.3586028,8.97199,-0.13643703,6.867571,7.0149384,6.335747,3263.854194031957,1884.1789581044218,5635.273972602739,2401.0033575863795,2014.2703691355207,863.616336523536,0.24323763912671234,0.2418468562215633,0.0066674156,0.0063884994,0.017961992,0.0,0.26266938,0.17414024,0.18949555,0.29315645,0.34129307,0.30025586,0.18669717,0.20467079,0.37775064,0.58220273,0.5042273,0.2945101,[81.52173913],0.013563323,0.13468307
"carine_yes, approve.wav","C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio_Processing\audios\carine_yes, approve.wav",1.9505,-604.00055,162.83517,25.515104,56.448635,26.03104,26.927,-39.163185,37.59178,-12.005847,19.79887,-27.220497,28.169916,-0.010515745,11.407702,-8.280677,16.102367,-9.4392,11.980198,-4.867689,9.760885,0.7537015,10.488016,0.6989642,8.69286,-0.9481075,7.257732,2.6779604,8.071833,3.2186744,7.2474723,-1.692017,6.372255,-8.137643,10.576218,3.667031,7.556122,3.0495818,10.196795,3.706198,6.46926,3105.6977924190146,2075.5597185886872,5198.002049180328,2743.516220854938,1922.1833047695807,923.8416704901483,0.24888735911885246,0.2816034140243639,0.008698445,0.014252023,0.056365434,0.0,0.21942039,0.22364713,0.3847353,0.37388617,0.24203587,0.22606552,0.26675928,0.44631404,0.57994276,0.6281018,0.42532724,0.22737019,[117.1875],0.021376984,0.23654117
Emmy_confirm_transactions.wav,C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio_Processing\audios\Emmy_confirm_transactions.wav,2.3466875,-316.56332,88.32637,81.23981,44.368153,12.147076,18.652298,8.626497,18.431677,-0.5657181,14.80222,-1.1454744,11.69649,-4.432164,6.315875,5.308984,7.437093,-10.9464,8.799086,-4.12022,9.227748,-4.850673,5.2693577,-0.4093844,5.0326147,-7.914093,6.264324,-1.825037,4.267415,-5.166501,5.609997,-5.3959675,5.7027516,-4.535207,5.08115,-2.5784614,5.1212893,-4.5685287,3.3381252,-2.7643442,5.34282,2025.3712388532344,1014.0293956720793,4004.8564189189187,1942.9734928592645,1889.2230347380096,439.5494285433078,0.17550411739864866,0.11836174215283915,0.03369102,0.034233678,0.11288741,0.00010011324,0.45999599,0.42286822,0.52518755,0.37453324,0.33584255,0.3390887,0.4411055,0.44042805,0.38272446,0.4885323,0.4488334,0.47460526,[144.23076923],0.60177046,5.4244556
"Emmy_yes,approve.wav","C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio_Processing\audios\Emmy_yes,approve.wav",2.816,-352.3863,66.36593,59.07886,37.38498,8.972962,23.04177,12.474685,18.303152,-0.3171614,9.844222,7.337802,6.8037963,-4.940583,7.327015,5.5111074,6.5083227,-5.757108,5.6181173,-1.4042821,10.299843,-4.636958,6.28093,0.2518722,4.5466485,-1.1967934,5.619092,0.1639437,5.4752684,-0.8560728,5.0429873,0.047706723,6.2630816,-2.0837128,5.260606,0.95842844,5.2912984,-4.298665,4.6220407,0.54106665,3.8682396,2507.239653443903,1141.720482320627,4751.3167134831465,1602.2764645732536,1977.2855028838283,318.7933774296509,0.24504586551966293,0.16020338767096992,0.016847756,0.02541528,0.093847886,8.771812e-05,0.63236356,0.5308616,0.5275608,0.59381795,0.570604,0.5533397,0.60383385,0.58401453,0.5290401,0.60113996,0.6283705,0.64995056,[98.68421053],0.23837574,3.189953
Eva_confirm_transactions.wav,C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio_Processing\audios\Eva_confirm_transactions.wav,2.261375,-501.61768,137.46631,117.86782,67.81909,34.076656,30.526127,11.664201,23.679947,-4.078887,14.291418,7.6188374,9.318636,-3.3476737,13.077795,6.1337724,11.2759,3.0730922,9.528054,4.5670276,6.417397,5.744197,7.539508,-0.55992424,9.750741,2.4715528,7.0823536,-0.8521809,6.2300234,0.6882354,5.361775,1.1340915,6.3024116,-2.7647824,8.439438,-0.8253311,5.974882,-1.7938616,6.175742,2.3757515,4.548198,1014.8352252207712,1075.8020559199808,1848.9216549295775,2013.1028239318834,1160.184429232104,665.5682243060706,0.06539530149647887,0.07784805960129966,0.014003729,0.012035249,0.04352475,0.0,0.41518512,0.45177197,0.38934526,0.37525782,0.46217862,0.57646644,0.52810115,0.4609757,0.44293803,0.4550848,0.3884277,0.43192688,[133.92857143],0.085305326,0.9847385
"Eva_yes, approve.wav","C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio_Processing\audios\Eva_yes, approve.wav",1.493375,-489.34372,123.489235,105.13497,65.39305,32.486942,32.379654,5.487062,21.837543,-10.8482275,17.253313,3.2411914,12.056909,-6.979387,14.335533,4.144565,7.206644,-3.3920853,12.511571,-2.3651867,10.882717,9.226274,9.871915,-3.48683,11.155434,2.2996476,4.413716,1.2001481,7.338605,3.8750694,7.638637,1.864634,5.716473,-3.2643466,8.040367,-0.1986842,5.5511274,-2.2133737,5.8472695,1.5294381,7.199261,1171.4558536427655,1468.5008907627844,1859.0425531914893,2253.7495753643934,1155.6814604425222,676.7953015505109,0.0990691489361702,0.15517939328629332,0.01541805,0.015477792,0.050056014,0.0,0.33901402,0.38826054,0.34236717,0.30483556,0.25958955,0.291141,0.4023384,0.51964194,0.50758004,0.41266838,0.33939525,0.34649056,[117.1875],0.12357466,1.5409278
Tracy_confirm_transactions.wav,C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio_Processing\audios\Tracy_confirm_transactions.wav,3.392,-461.8625,106.81906,83.12136,52.23293,24.066696,15.2603,19.070826,23.976809,-6.018195,21.708298,8.582002,14.581479,1.8186429,8.977299,1.0381498,10.022892,2.669358,7.0079427,-0.2531546,9.812673,-7.624084,7.4647355,4.0197644,7.159754,-8.712089,6.1336455,-3.2041512,5.491287,-3.8205535,4.8191075,-3.2011352,5.4829264,-4.039515,3.898867,-1.3124969,4.2165723,-4.4199796,6.259229,0.001129317,4.0406957,1773.3617072740687,948.8809669594285,3633.4696261682243,1748.0206967069873,1832.753860816648,436.043616078691,0.10877263434579439,0.1043872534879129,0.009265438,0.009119074,0.029518975,3.9573388e-05,0.19548845,0.17004225,0.18406613,0.23905273,0.3023872,0.43474722,0.51783013,0.5249188,0.49517274,0.47286466,0.31998256,0.24323353,[62.5],0.03981491,0.36819765
"Tracy_yes,aprove.wav","C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio_Processing\audios\Tracy_yes,aprove.wav",4.224,-510.70642,87.29738,72.37744,33.96805,23.502005,16.856888,22.043001,20.612787,3.487061,16.780048,6.9042935,16.886753,7.660056,6.7542944,1.3408068,10.234764,5.2117147,7.723865,0.6440302,9.870878,-2.0985878,6.2566433,3.1847937,7.99852,-5.451455,4.8923507,-2.4052331,4.5520697,-0.74353033,4.5098763,-0.82916456,5.27601,-3.623856,5.999554,0.38286516,4.7324977,-4.466513,6.370868,0.8905352,4.697364,2029.8350674949334,1081.0041894068386,4374.118890977444,1358.966338319555,2024.3073956115325,341.52584798738985,0.12450804746240601,0.16150722149478916,0.0060245194,0.009712381,0.042884182,2.105681e-05,0.2232623,0.20801586,0.22169696,0.23684779,0.3515632,0.53291655,0.4551781,0.44250733,0.45713747,0.50493586,0.31264713,0.22537185,[144.23076923],0.03240053,0.61485076
