file_name,file_path,duration,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_energy_mean,rms_energy_std,rms_energy_max,rms_energy_min,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,tempo,mel_spectrogram_mean,mel_spectrogram_std
carine_confirm_transactions.wav,C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio processing\audios\carine_confirm_transactions.wav,2.322,-580.0337,178.12044,18.338223,56.81647,34.966053,37.07448,-39.27616,39.876236,-14.482768,21.579855,-18.253267,20.21377,-11.433068,11.806595,-8.780412,13.96103,-5.22155,10.592114,-9.330009,11.138656,-2.42665,9.159268,-5.827831,14.63518,-2.2634428,7.901734,-5.724035,10.709471,-0.8869128,7.26688,-2.3689413,7.580285,-7.6412196,9.689732,1.3586028,8.97199,-0.13643703,6.867571,7.0149384,6.335747,3263.854194031957,1884.1789581044218,5635.273972602739,2401.0033575863795,2014.2703691355207,863.616336523536,0.24323763912671234,0.2418468562215633,0.0066674156,0.0063884994,0.017961992,0.0,0.26266938,0.17414024,0.18949555,0.29315645,0.34129307,0.30025586,0.18669717,0.20467079,0.37775064,0.58220273,0.5042273,0.2945101,[81.52173913],0.013563323,0.13468307
"carine_yes, approve.wav","C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio processing\audios\carine_yes, approve.wav",1.9505,-604.00055,162.83517,25.515104,56.448635,26.03104,26.927,-39.163185,37.59178,-12.005847,19.79887,-27.220497,28.169916,-0.010515745,11.407702,-8.280677,16.102367,-9.4392,11.980198,-4.867689,9.760885,0.7537015,10.488016,0.6989642,8.69286,-0.9481075,7.257732,2.6779604,8.071833,3.2186744,7.2474723,-1.692017,6.372255,-8.137643,10.576218,3.667031,7.556122,3.0495818,10.196795,3.706198,6.46926,3105.6977924190146,2075.5597185886872,5198.002049180328,2743.516220854938,1922.1833047695807,923.8416704901483,0.24888735911885246,0.2816034140243639,0.008698445,0.014252023,0.056365434,0.0,0.21942039,0.22364713,0.3847353,0.37388617,0.24203587,0.22606552,0.26675928,0.44631404,0.57994276,0.6281018,0.42532724,0.22737019,[117.1875],0.021376984,0.23654117
Eva_confirm_transactions.wav,C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio processing\audios\Eva_confirm_transactions.wav,2.261375,-501.61768,137.46631,117.86782,67.81909,34.076656,30.526127,11.664201,23.679947,-4.078887,14.291418,7.6188374,9.318636,-3.3476737,13.077795,6.1337724,11.2759,3.0730922,9.528054,4.5670276,6.417397,5.744197,7.539508,-0.55992424,9.750741,2.4715528,7.0823536,-0.8521809,6.2300234,0.6882354,5.361775,1.1340915,6.3024116,-2.7647824,8.439438,-0.8253311,5.974882,-1.7938616,6.175742,2.3757515,4.548198,1014.8352252207712,1075.8020559199808,1848.9216549295775,2013.1028239318834,1160.184429232104,665.5682243060706,0.06539530149647887,0.07784805960129966,0.014003729,0.012035249,0.04352475,0.0,0.41518512,0.45177197,0.38934526,0.37525782,0.46217862,0.57646644,0.52810115,0.4609757,0.44293803,0.4550848,0.3884277,0.43192688,[133.92857143],0.085305326,0.9847385
"Eva_yes, approve.wav","C:\Users\PC\Documents\Formative2-Data-Preprocessing\Audio processing\audios\Eva_yes, approve.wav",1.493375,-489.34372,123.489235,105.13497,65.39305,32.486942,32.379654,5.487062,21.837543,-10.8482275,17.253313,3.2411914,12.056909,-6.979387,14.335533,4.144565,7.206644,-3.3920853,12.511571,-2.3651867,10.882717,9.226274,9.871915,-3.48683,11.155434,2.2996476,4.413716,1.2001481,7.338605,3.8750694,7.638637,1.864634,5.716473,-3.2643466,8.040367,-0.1986842,5.5511274,-2.2133737,5.8472695,1.5294381,7.199261,1171.4558536427655,1468.5008907627844,1859.0425531914893,2253.7495753643934,1155.6814604425222,676.7953015505109,0.0990691489361702,0.15517939328629332,0.01541805,0.015477792,0.050056014,0.0,0.33901402,0.38826054,0.34236717,0.30483556,0.25958955,0.291141,0.4023384,0.51964194,0.50758004,0.41266838,0.33939525,0.34649056,[117.1875],0.12357466,1.5409278
